"TIPO","FECHA","description","TX"
"RENAPO","2024/09/08 23","Procesada","9744"
"RENAPO","2024/09/08 23","Procesada por Cache","2995"
"RENAPO","2024/09/08 23","Rechazada por limite de Transacciones permitidas","7923"
"RENAPO","2024/09/08 23","Sin Respuesta de RENAPO","81"
"RENAPO","2024/09/08 22","Procesada","10900"
"RENAPO","2024/09/08 22","Procesada por Cache","3381"
"RENAPO","2024/09/08 22","Rechazada por limite de Transacciones permitidas","4120"
"RENAPO","2024/09/08 22","Sin Respuesta de RENAPO","359"
"RENAPO","2024/09/08 21","Procesada","11685"
"RENAPO","2024/09/08 21","Procesada por Cache","3573"
"RENAPO","2024/09/08 21","Rechazada por limite de Transacciones permitidas","430"
"RENAPO","2024/09/08 21","Sin Respuesta de RENAPO","1527"
"RENAPO","2024/09/08 20","Procesada","11544"
"RENAPO","2024/09/08 20","Procesada por Cache","3676"
"RENAPO","2024/09/08 20","Rechazada por limite de Transacciones permitidas","544"
"RENAPO","2024/09/08 20","Sin Respuesta de RENAPO","2875"
"RENAPO","2024/09/08 19","Procesada","11040"
"RENAPO","2024/09/08 19","Procesada por Cache","4072"
"RENAPO","2024/09/08 19","Rechazada por limite de Transacciones permitidas","715"
"RENAPO","2024/09/08 19","Sin Respuesta de RENAPO","5584"
"RENAPO","2024/09/08 18","Procesada","10448"
"RENAPO","2024/09/08 18","Procesada por Cache","4063"
"RENAPO","2024/09/08 18","Rechazada por limite de Transacciones permitidas","1284"
"RENAPO","2024/09/08 18","Recibida","104"
"RENAPO","2024/09/08 18","Sin Respuesta de RENAPO","8836"
"RENAPO","2024/09/08 17","Procesada","9984"
"RENAPO","2024/09/08 17","Procesada por Cache","4017"
"RENAPO","2024/09/08 17","Rechazada por limite de Transacciones permitidas","1151"
"RENAPO","2024/09/08 17","Recibida","176"
"RENAPO","2024/09/08 17","Sin Respuesta de RENAPO","11008"
"RENAPO","2024/09/08 16","Procesada","10003"
"RENAPO","2024/09/08 16","Procesada por Cache","4078"
"RENAPO","2024/09/08 16","Rechazada por limite de Transacciones permitidas","722"
"RENAPO","2024/09/08 16","Recibida","293"
"RENAPO","2024/09/08 16","Sin Respuesta de RENAPO","11413"
"RENAPO","2024/09/08 15","Procesada","10151"
"RENAPO","2024/09/08 15","Procesada por Cache","4082"
"RENAPO","2024/09/08 15","Rechazada por limite de Transacciones permitidas","4415"
"RENAPO","2024/09/08 15","Recibida","1067"
"RENAPO","2024/09/08 15","Sin Respuesta de RENAPO","11006"
"RENAPO","2024/09/08 14","Procesada","10204"
"RENAPO","2024/09/08 14","Procesada por Cache","4248"
"RENAPO","2024/09/08 14","Rechazada por limite de Transacciones permitidas","4823"
"RENAPO","2024/09/08 14","Recibida","2055"
"RENAPO","2024/09/08 14","Sin Respuesta de RENAPO","9295"
"RENAPO","2024/09/08 13","Procesada","9988"
"RENAPO","2024/09/08 13","Procesada por Cache","7235"
"RENAPO","2024/09/08 13","Rechazada por limite de Transacciones permitidas","2161"
"RENAPO","2024/09/08 13","Recibida","664"
"RENAPO","2024/09/08 13","Sin Respuesta de RENAPO","10637"
"RENAPO","2024/09/08 12","Procesada","9828"
"RENAPO","2024/09/08 12","Procesada por Cache","4026"
"RENAPO","2024/09/08 12","Rechazada por limite de Transacciones permitidas","648"
"RENAPO","2024/09/08 12","Recibida","350"
"RENAPO","2024/09/08 12","Sin Respuesta de RENAPO","10880"
"RENAPO","2024/09/08 11","Procesada","10427"
"RENAPO","2024/09/08 11","Procesada por Cache","3805"
"RENAPO","2024/09/08 11","Rechazada por limite de Transacciones permitidas","64"
"RENAPO","2024/09/08 11","Sin Respuesta de RENAPO","7570"
"RENAPO","2024/09/08 10","Procesada","10650"
"RENAPO","2024/09/08 10","Procesada por Cache","2806"
"RENAPO","2024/09/08 10","Sin Respuesta de RENAPO","270"
"RENAPO","2024/09/08 09","Procesada","8009"
"RENAPO","2024/09/08 09","Procesada por Cache","2310"
"RENAPO","2024/09/08 09","Sin Respuesta de RENAPO","131"
"RENAPO","2024/09/08 08","Procesada","6212"
"RENAPO","2024/09/08 08","Procesada por Cache","1850"
"RENAPO","2024/09/08 08","Sin Respuesta de RENAPO","79"
"RENAPO","2024/09/08 07","Procesada","6534"
"RENAPO","2024/09/08 07","Procesada por Cache","1414"
"RENAPO","2024/09/08 07","Sin Respuesta de RENAPO","76"
"RENAPO","2024/09/08 06","Procesada","4754"
"RENAPO","2024/09/08 06","Procesada por Cache","1074"
"RENAPO","2024/09/08 06","Sin Respuesta de RENAPO","69"
"RENAPO","2024/09/08 05","Procesada","4244"
"RENAPO","2024/09/08 05","Procesada por Cache","962"
"RENAPO","2024/09/08 05","Sin Respuesta de RENAPO","44"
"RENAPO","2024/09/08 04","Procesada","4229"
"RENAPO","2024/09/08 04","Procesada por Cache","918"
"RENAPO","2024/09/08 04","Sin Respuesta de RENAPO","65"
"RENAPO","2024/09/08 03","Procesada","4500"
"RENAPO","2024/09/08 03","Procesada por Cache","1132"
"RENAPO","2024/09/08 03","Sin Respuesta de RENAPO","56"
"RENAPO","2024/09/08 02","Procesada","4872"
"RENAPO","2024/09/08 02","Procesada por Cache","1207"
"RENAPO","2024/09/08 02","Sin Respuesta de RENAPO","62"
"RENAPO","2024/09/08 01","Procesada","5806"
"RENAPO","2024/09/08 01","Procesada por Cache","1478"
"RENAPO","2024/09/08 01","Sin Respuesta de RENAPO","97"
"RENAPO","2024/09/08 00","Procesada","6512"
"RENAPO","2024/09/08 00","Procesada por Cache","1783"
"RENAPO","2024/09/08 00","Sin Respuesta de RENAPO","67"
"RENAPO","2024/09/07 23","Procesada","6128"
"RENAPO","2024/09/07 23","Procesada por Cache","2207"
"RENAPO","2024/09/07 23","Rechazada por limite de Transacciones permitidas","4014"
"RENAPO","2024/09/07 23","Sin Respuesta de RENAPO","69"
"RENAPO","2024/09/07 22","Procesada","9200"
"RENAPO","2024/09/07 22","Procesada por Cache","5482"
"RENAPO","2024/09/07 22","Sin Respuesta de RENAPO","82"
"RENAPO","2024/09/07 21","Procesada","10996"
"RENAPO","2024/09/07 21","Procesada por Cache","6017"
"RENAPO","2024/09/07 21","Sin Respuesta de RENAPO","407"
"RENAPO","2024/09/07 20","Procesada","11199"
"RENAPO","2024/09/07 20","Procesada por Cache","6152"
"RENAPO","2024/09/07 20","Rechazada por limite de Transacciones permitidas","4"
"RENAPO","2024/09/07 20","Sin Respuesta de RENAPO","3342"
"RENAPO","2024/09/07 19","Procesada","11173"
"RENAPO","2024/09/07 19","Procesada por Cache","3767"
"RENAPO","2024/09/07 19","Rechazada por limite de Transacciones permitidas","449"
"RENAPO","2024/09/07 19","Sin Respuesta de RENAPO","4444"
"RENAPO","2024/09/07 18","Procesada","10758"
"RENAPO","2024/09/07 18","Procesada por Cache","4325"
"RENAPO","2024/09/07 18","Rechazada por limite de Transacciones permitidas","832"
"RENAPO","2024/09/07 18","Sin Respuesta de RENAPO","7651"
"RENAPO","2024/09/07 17","Procesada","10191"
"RENAPO","2024/09/07 17","Procesada por Cache","4125"
"RENAPO","2024/09/07 17","Rechazada por limite de Transacciones permitidas","1092"
"RENAPO","2024/09/07 17","Recibida","61"
"RENAPO","2024/09/07 17","Sin Respuesta de RENAPO","9777"
"RENAPO","2024/09/07 16","Procesada","9958"
"RENAPO","2024/09/07 16","Procesada por Cache","4079"
"RENAPO","2024/09/07 16","Rechazada por limite de Transacciones permitidas","1635"
"RENAPO","2024/09/07 16","Recibida","170"
"RENAPO","2024/09/07 16","Sin Respuesta de RENAPO","11231"
"RENAPO","2024/09/07 15","Procesada","9652"
"RENAPO","2024/09/07 15","Procesada por Cache","4094"
"RENAPO","2024/09/07 15","Rechazada por limite de Transacciones permitidas","1129"
"RENAPO","2024/09/07 15","Recibida","226"
"RENAPO","2024/09/07 15","Sin Respuesta de RENAPO","12205"
